loc,lat,lng,poly
lib,41.702409,-86.234141,
ftz,41.699574,-86.237161,
uea,41.715151,-86.248174,
sdh,41.699465,-86.241445,
lyn,41.702409,-86.234141,
rkn,41.699993,-86.243859,
cmc,41.700667,-86.240592,
hhh,41.700801,-86.237520,
dbt,41.698346,-86.236276,
dnc,41.698413,-86.235349,
laf,41.701926,-86.237699,
mnb,41.703042,-86.238998,
ndh,41.704371,-86.236050,
jdn,41.700751,-86.231898,
fgr,41.705351,-86.230320,
rhh,41.701313,-86.230840,
str,41.697314,-86.237766,
bks,41.696656,-86.240039,
mdz,41.696969,-86.236146,
nwl,41.701562,-86.236806,
jyc,41.698360,-86.231267,
irf,41.701246,-86.222809,
crb,41.698867,-86.232720,
dch,41.697908,-86.243294,
fln,41.704653,-86.235062,
ggl,41.700363,-86.229589,
hgg,41.704958,-86.236810,
jks,41.695699,-86.237931,
onl,41.697175,-86.233896,
rcc,41.707210,-86.234465,
rly,41.700802,-86.236245,
